Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
Medal of Honor|PS3|Lövöldözős|Electronic Arts|EA Los Angeles|6.7|2.82|2010
Imagine: Fashion Designer|DS|Szimuláció|Ubisoft|Virtual Toys / Lexis Numerique|3.0|2.81|2007
Need for Speed: Hot Pursuit|PS3|Versenyzős|Electronic Arts|Criterion Games|8.9|2.81|2010
Killzone 3|PS3|Lövöldözős|Sony Computer Entertainment|Guerrilla Games|8.2|2.81|2011
NBA Street|PS2|Sport|EA Sports BIG|NuFX|7.3|2.79|2001
Skylanders: Spyro's Adventure|Wii|Akció|Activision|Toys for Bob|8.0|2.79|2011
WWF SmackDown! Just Bring It|PS2|Harcolós|THQ|Yuke's|7.3|2.79|2001
Mortal Kombat Trilogy|PS|Harcolós|Midway Games|Avalanche Software|7.3|2.79|1996
Hot Shots Golf|PS|Sport|Sony Computer Entertainment|Camelot Software Planning|7.3|2.79|1998
A Bug's Life|PS|Platformer|Sony Computer Entertainment|Traveller's Tales|3.6|2.79|1998
Star Wars: The Force Unleashed|X360|Akció|LucasArts|LucasArts|7.1|2.77|2008
Saints Row: The Third|X360|Akció|THQ|Volition Inc.|8.3|2.77|2011
The Sims|PS2|Szimuláció|Electronic Arts|Edge of Reality|7.3|2.77|2003
Battlefield 3|PC|Lövöldözős|Electronic Arts|Dice|8.9|2.76|2011
Need for Speed: Most Wanted (2012)|PS3|Versenyzős|Electronic Arts|Criterion Games|8.5|2.74|2012
Far Cry: Primal|PS4|Akció-kaland|Ubisoft|Ubisoft Montreal|7.2|2.73|2016
L.A. Noire|X360|Kaland|Rockstar Games|Team Bondi|9.1|2.73|2011
Overwatch|XOne|Lövöldözős|Blizzard Entertainment|Blizzard Entertainment|8.7|2.72|2016
Need for Speed (2015)|PS4|Versenyzős|Electronic Arts|Ghost Games|7.0|2.72|2015
Tom Clancy's Rainbow Six: Siege|XOne|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|2.71|2015
Skate 3|X360|Sport|EA Sports|EA Black Box|8.3|2.71|2010
Madden NFL 13|PS3|Sport|EA Sports|EA Tiburon|8.3|2.71|2012
Madden NFL 12|X360|Sport|EA Sports|EA Tiburon|7.8|2.7|2011
Call of Duty 3|X360|Lövöldözős|Activision|Treyarch|8.0|2.7|2006
LEGO Star Wars II: The Original Trilogy|PS2|Akció|LucasArts|Traveller's Tales|8.4|2.69|2006
Madden NFL 11|X360|Sport|EA Sports|EA Tiburon|8.3|2.69|2010
Burnout 3: Takedown|PS2|Versenyzős|Electronic Arts|Criterion Games|9.3|2.68|2004
Mortal Kombat|GEN|Harcolós|Arena Entertainment|Probe Entertainment Limited|7.3|2.67|1993
Medal of Honor|PS|Lövöldözős|Electronic Arts|DreamWorks Interactive|9.3|2.67|1999
Call of Duty 2: Big Red One|PS2|Lövöldözős|Activision|Treyarch|8.5|2.67|2005
Final Fantasy XIII-2|PS3|Szerepjáték|Square Enix|Square Enix|8.3|2.66|2012
Medal of Honor Heroes|PSP|Lövöldözős|Electronic Arts|Team Fusion|6.7|2.66|2006
Guitar Hero: World Tour|X360|Egyéb|Activision|Neversoft Entertainment|8.6|2.66|2008
WWE SmackDown! Shut Your Mouth|PS2|Harcolós|THQ|Yuke's|7.3|2.66|2002
Tom Clancy's Splinter Cell|PS2|Akció|Ubisoft|Ubisoft|7.3|2.65|2003
Need for Speed: Shift|PS3|Versenyzős|Electronic Arts|Slightly Mad Studios|8.2|2.65|2009
Hannah Montana|DS|Akció|Buena Vista|DC Studios|6.5|2.65|2006
Medal of Honor|X360|Lövöldözős|Electronic Arts|EA Los Angeles|7.3|2.64|2010
NBA 2K12|X360|Sport|2K Sports|Visual Concepts|9.1|2.64|2011
Midnight Club: Street Racing|PS2|Versenyzős|Rockstar Games|Angel Studios|7.3|2.63|2000
NBA 2K19|PS4|Sport|2K Sports|Visual Concepts|7.3|2.63|2018
NBA 2K13|PS3|Sport|2K Sports|Visual Concepts|8.9|2.63|2012
FIFA Soccer 10|X360|Sport|EA Sports|EA Canada|8.9|2.62|2009
ESPN NFL 2K5|PS2|Sport|Sega|Visual Concepts|7.3|2.62|2004
Madden NFL 18|PS4|Sport|EA Sports|EA Tiburon|8.2|2.62|2017
LittleBigPlanet|PSP|Platformer|Sony Computer Entertainment|SCEE Cambridge|8.8|2.61|2009
Harry Potter and the Chamber of Secrets|PS2|Kaland|Electronic Arts|Eurocom Entertainment Software|7.3|2.61|2002
Grand Theft Auto: Episodes from Liberty City|X360|Kaland|Rockstar Games|Rockstar North|9.0|2.6|2009
Streets of Rage|GEN|Akció|Sega|Sega|7.3|2.6|1990
FIFA Soccer 09|PS3|Sport|Electronic Arts|EA Canada|8.6|2.59|2008
NBA Live 2005|PS2|Sport|EA Sports|EA Canada|7.3|2.59|2004
Tom Clancy's The Division|XOne|Lövöldözős|Ubisoft|Massive Entertainment|7.3|2.59|2016
LEGO Star Wars: The Complete Saga|X360|Akció|LucasArts|Traveller's Tales|7.3|2.59|2007
WWE SmackDown vs. RAW 2007|PS2|Harcolós|THQ|Yuke's|8.0|2.58|2006
Skylanders Giants|Wii|Egyéb|Activision|Toys for Bob|7.3|2.58|2012
Madden NFL 08|PS2|Sport|EA Sports|EA Tiburon|7.3|2.57|2007
NBA 2K14|X360|Sport|2K Sports|Visual Concepts|7.3|2.57|2013
Dragon Age: Origins|X360|Szerepjáték|Electronic Arts|BioWare Edmonton|8.5|2.56|2009
Hot Shots Golf|PS|Sport|Sony Computer Entertainment|Camelot Software Planning|7.3|2.56|1998
FIFA 16|PS3|Sport|EA Sports|EA Canada|9.0|2.55|2015
Madden NFL 09|X360|Sport|EA Sports|EA Tiburon|8.5|2.54|2008
Crazy Taxi|PS2|Versenyzős|Acclaim Entertainment|Hitmaker|8.2|2.52|2001
Tomb Raider (2013)|PS3|Akció|Square Enix|Crystal Dynamics|8.9|2.51|2013
Midnight Club: Los Angeles|PS3|Versenyzős|Rockstar Games|Rockstar San Diego|8.3|2.5|2008
PES 2009: Pro Evolution Soccer|PS2|Sport|Konami|Konami|7.3|2.5|2008
Marvel: Ultimate Alliance|X360|Szerepjáték|Activision|Raven Software|8.3|2.5|2006
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City|XB|Akció|Rockstar Games|Rockstar North|9.8|2.49|2003
Mortal Kombat: Deadly Alliance|PS2|Harcolós|Midway Games|Midway|8.2|2.49|2002
Game Party|Wii|Egyéb|Midway Games|JGI Entertainment|2.6|2.49|2007
NBA 2K15|PS4|Sport|2K Sports|Visual Concepts|7.3|2.49|2014
Saints Row: The Third|PS3|Akció|THQ|Volition Inc.|8.3|2.48|2011
Tomb Raider: The Last Revelation|PS|Akció|Eidos Interactive|Core Design Ltd.|7.3|2.48|1999
Madden NFL 16|XOne|Sport|EA Sports|EA Tiburon|8.4|2.47|2015
Rock Band|X360|Egyéb|MTV Games|Harmonix Music Systems|9.1|2.47|2007
Assassin's Creed Origins|XOne|Akció|Ubisoft|Ubisoft Montreal|7.3|2.47|2017
Minecraft|PSV|Egyéb|Sony Computer Entertainment America|4J Studios|7.3|2.47|2014
Pure|X360|Versenyzős|Disney Interactive Studios|Black Rock Studio|8.3|2.47|2008
LEGO Harry Potter: Years 1-4|Wii|Kaland|Warner Bros. Interactive|Traveller's Tales|7.9|2.45|2010
Dying Light|PS4|Akció|Warner Bros. Interactive|Techland|7.3|2.45|2015
Madden NFL 17|XOne|Sport|EA Sports|EA Tiburon|8.1|2.44|2016
Twisted Metal 2|PS|Versenyzős|Sony Computer Entertainment|SingleTrac|8.7|2.44|1996
uDraw Studio|Wii|Egyéb|THQ|Pipeworks Software, Inc.|7.3|2.44|2010
The Sims: Bustin' Out|PS2|Szimuláció|Electronic Arts|Maxis|7.3|2.43|2003
Tom Clancy's Rainbow Six: Vegas 2|X360|Lövöldözős|Ubisoft|Ubisoft Montreal|8.2|2.42|2008
Sonic Adventure|DC|Platformer|Sega|Sonic Team|8.9|2.42|1999
Need for Speed Carbon: Own the City|PSP|Versenyzős|Electronic Arts|EA Black Box|7.4|2.42|2006
Halo: Combat Evolved Anniversary|X360|Lövöldözős|Microsoft Studios|343 Industries|8.0|2.41|2011
Kinect: Disneyland Adventures|X360|Akció-kaland|Microsoft Studios|Frontier Developments|8.5|2.41|2011
Need for Speed: ProStreet|PS2|Versenyzős|Electronic Arts|EA Black Box|7.3|2.41|2007
Pro Evolution Soccer 2011|PS3|Sport|Konami|Konami|6.0|2.41|2010
NBA 2K16|XOne|Sport|2K Sports|Visual Concepts|8.3|2.41|2015
ATV Offroad Fury|PS2|Versenyzős|Sony Computer Entertainment|Rainbow Studios|8.4|2.41|2001
Forza Motorsport 5|XOne|Versenyzős|Microsoft Studios|Turn 10 Studios|7.3|2.4|2013
Batman: Arkham Origins|PS3|Akció-kaland|Warner Bros. Interactive Entertainment|Warner Bros. Interactive Entertainment|7.3|2.4|2013
Midnight Club: Los Angeles|X360|Versenyzős|Rockstar Games|Rockstar San Diego|8.0|2.4|2008
Tetris Plus|PS|Logikai|Jaleco|Atlus Co.|7.3|2.4|1996
Madden NFL 11|PS3|Sport|EA Sports|EA Tiburon|8.4|2.4|2010
Theme Hospital|PC|Stratégia|Electronic Arts|Bullfrog Productions|5.5|2.4|1997
Zumba Fitness|X360|Sport|Majesco|Pipeworks Software, Inc.|7.3|2.39|2010
Frogger's Adventures: Temple of the Frog|GBA|Kaland|Konami|Konami|6.7|2.39|2001
Monopoly|PC|Egyéb|Hasbro Interactive|Unknown|7.3|2.39|1995
Mortal Kombat II (US & Others sales)|GEN|Harcolós|Acclaim Entertainment|Probe Entertainment Limited|7.3|2.39|1994
Dead Island|X360|Akció|Deep Silver|Techland|7.0|2.38|2011
WCW/nWo Revenge|N64|Harcolós|THQ|Aki Corp.|7.3|2.38|1998
The Incredibles|PS2|Akció|THQ|Heavy Iron Studios|5.9|2.37|2004
Madden NFL 10|PS3|Sport|EA Sports|EA Tiburon|8.5|2.37|2009
Madden NFL 08|X360|Sport|EA Sports|EA Tiburon|8.7|2.37|2007
Tony Hawk's Underground 2|PS2|Sport|Activision|Neversoft Entertainment|7.3|2.37|2004
Sonic's Ultimate Genesis Collection|PS3|Egyéb|Sega|Backbone Entertainment|8.1|2.36|2009
Destiny 2|XOne|Lövöldözős|Activision|Bungie|7.3|2.35|2017
LEGO Indiana Jones: The Original Adventures|Wii|Kaland|LucasArts|Traveller's Tales|7.8|2.35|2008
Lego Marvel Super Heroes|X360|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|2.34|2013
WWE SmackDown vs Raw 2008|PS2|Harcolós|THQ|Yuke's Media Creations|7.3|2.34|2007
Dragon Age: Inquisition|PS4|Szerepjáték|Electronic Arts|BioWare Edmonton|8.6|2.34|2014
Kinect Sports: Season Two|X360|Sport|Microsoft Studios|Rare Ltd.|6.6|2.33|2011
Madden NFL 25|X360|Sport|EA Sports|EA Tiburon|7.8|2.33|2013
Grand Theft Auto|PS|Akció|Take-Two Interactive|DMA Design|6.0|2.32|1998
My Fitness Coach|Wii|Sport|Ubisoft|Ubisoft|7.1|2.32|2008
Assassin's Creed IV: Black Flag|XOne|Akció|Ubisoft|Ubisoft Montreal|8.3|2.32|2013
Cool Boarders 3|PS|Sport|989 Studios|Idol Minds Digital Entertainment|7.3|2.31|1998
Need for Speed: High Stakes|PS|Versenyzős|Electronic Arts|EA Canada|7.3|2.31|1999
The Sims 3|X360|Szimuláció|Electronic Arts|The Sims Studio|8.0|2.31|2010
LEGO Star Wars: The Complete Saga|PS3|Akció|LucasArts|Traveller's Tales|8.0|2.31|2007
James Bond 007: Everything or Nothing|PS2|Lövöldözős|Electronic Arts|EA Redwood Shores|7.3|2.31|2004
Dead Island|PS3|Akció|Deep Silver|Techland|6.7|2.29|2011
Tomb Raider II|PC|Kaland|Eidos Interactive|Core Design Ltd.|8.2|2.29|1997
LEGO Harry Potter: Years 1-4|DS|Kaland|Warner Bros. Interactive|Traveller's Tales|8.0|2.29|2010
Pro Evolution Soccer 2010|PS3|Sport|Konami|Konami|7.0|2.28|2009
Need for Speed Underground 2|XB|Versenyzős|Electronic Arts|EA Black Box|8.0|2.28|2004
FIFA Soccer 09|PS2|Sport|Electronic Arts|EA Canada|7.3|2.28|2008
Madden NFL 12|PS3|Sport|EA Sports|EA Tiburon|7.8|2.27|2011
Star Wars Battlefront II (US sales)|PS2|Lövöldözős|LucasArts|Pandemic Studios|7.3|2.27|2005
Borderlands 2|PS3|Lövöldözős|2K Games|Gearbox Software|7.3|2.27|2012
No Man's Sky|PS4|Akció-kaland|Hello Games|Hello Games|6.8|2.26|2016
Madden NFL 15|PS4|Sport|EA Sports|EA Tiburon|7.3|2.25|2014
Guitar Hero III: Legends of Rock|PS3|Egyéb|RedOctane|Neversoft|8.2|2.25|2007
Just Dance Kids|Wii|Egyéb|Ubisoft|Ubisoft Paris|7.3|2.25|2010
Cool Boarders 2|PS|Sport|Sony Computer Entertainment|UEP Systems|7.3|2.25|1997
Sonic Advance|GBA|Platformer|Sega|Dimps Corporation / Sonic Team|7.3|2.24|2002
Call of Duty 3|Wii|Lövöldözős|Activision|EXAKT Entertainment|6.8|2.24|2006
Dance Dance Revolution X2|PS2|Szimuláció|Konami|Konami Computer Entertainment Tokyo|7.3|2.23|2009
Teenage Mutant Ninja Turtles II: The Arcade Game|NES|Akció|Ultra Games|Konami|7.3|2.23|1990
Spyro: Season of Ice|GBA|Platformer|Vivendi Games|Digital Eclipse|7.3|2.23|2001
Prince of Persia: The Sands of Time|PS2|Kaland|Ubisoft|Ubisoft Montreal|9.0|2.22|2003
FIFA 19|XOne|Sport|Electronic Arts|EA Sports|7.3|2.22|2018
Battlefield V|PS4|Lövöldözős|Electronic Arts|EA DICE|7.3|2.22|2018
Star Wars: The Force Unleashed|PS3|Akció|LucasArts|LucasArts|6.8|2.22|2008
NBA 2K14|PS3|Sport|2K Sports|Visual Concepts|7.3|2.22|2013
Guitar Hero II|X360|Egyéb|RedOctane|Harmonix Music Systems|9.2|2.21|2007
Madden NFL 19|PS4|Sport|EA Sports|EA Tiburon|7.3|2.21|2018
Rock Band 2|X360|Egyéb|MTV Games|Harmonix Music Systems|9.2|2.2|2008
LEGO Indiana Jones: The Original Adventures|DS|Kaland|LucasArts|Traveller's Tales|7.3|2.2|2008
Need for Speed: Hot Pursuit|X360|Versenyzős|Electronic Arts|Criterion Games|8.8|2.2|2010
BioShock 2|X360|Lövöldözős|2K Games|2K Marin|8.6|2.2|2010
R.B.I. Baseball|NES|Sport|Tengen|Namco|7.3|2.2|1988
High School Musical: Makin' the Cut!|DS|Logikai|Disney Interactive Studios|Artificial Mind and Movement|7.3|2.2|2007
FIFA 15|XOne|Sport|EA Sports|EA Canada|7.9|2.19|2014
Skylanders SWAP Force|Wii|Platformer|Activision|Beenox|7.3|2.19|2013
Pro Evolution Soccer 2012|PS3|Sport|Konami|Konami|7.5|2.19|2011
Star Wars: Knights of the Old Republic|XB|Szerepjáték|LucasArts|BioWare Corp.|9.4|2.19|2003
Final Fantasy XIII|X360|Szerepjáték|Square Enix|Square Enix|8.1|2.19|2010
Destiny: The Taken King|PS4|Lövöldözős|Activision|Bungie|7.3|2.18|2015
Need for Speed: Payback|PS4|Versenyzős|Electronic Arts|Ghost Games|5.8|2.18|2017
ATV Offroad Fury 2|PS2|Versenyzős|Sony Computer Entertainment|Rainbow Studios|8.7|2.18|2002
Need for Speed Rivals|PS4|Versenyzős|Electronic Arts|Ghost Games|7.3|2.17|2013
PlayerUnknown's Battlegrounds|XOne|Lövöldözős|Microsoft Studios|PUBG Corporation|7.3|2.17|2017
Spyro Reignited Trilogy|PS4|Platformer|Activision|Toys for Bob|7.3|2.17|2018
Your Shape featuring Jenny McCarthy|Wii|Sport|Ubisoft|Ubisoft|6.0|2.16|2009
The Sims: House Party|PC|Szimuláció|Maxis|Maxis|7.3|2.16|2001
PlayStation VR Worlds|PS4|Egyéb|Sony Interactive Entertainment|SIE London Studio|7.3|2.16|2016
Syphon Filter 2|PS|Lövöldözős|989 Studios|Eidetic|7.3|2.15|2000
Battlefield: Hardline|PS4|Lövöldözős|Electronic Arts|EA DICE|7.3|2.15|2015
Call of Duty: Roads to Victory|PSP|Lövöldözős|Activision|Amaze Entertainment|6.1|2.14|2007
SimCity 2000|PC|Szimuláció|Maxis|Maxis|8.0|2.14|1993
NBA 2K12|PS3|Sport|2K Sports|Visual Concepts|9.0|2.13|2011
Dance Dance Revolution Extreme|PS2|Szimuláció|Konami|Konami Computer Entertainment Tokyo|7.3|2.13|2004
Demon Attack|2600|Lövöldözős|Imagic|Imagic|7.3|2.13|1982
Borderlands|PS3|Lövöldözős|2K Games|Gearbox Software|8.2|2.12|2009
Mortal Kombat (2011)|X360|Harcolós|Warner Bros. Interactive Entertainment|NetherRealm Studios|8.6|2.12|2011
Tony Hawk's Pro Skater|N64|Sport|Activision|Edge of Reality|9.3|2.11|2000
Need for Speed: Hot Pursuit 2|PS2|Versenyzős|Electronic Arts|EA Seattle|8.7|2.11|2002
PES 2009: Pro Evolution Soccer|PS3|Sport|Konami|Konami|7.7|2.11|2008
NBA 2K11|X360|Sport|2K Sports|Visual Concepts|8.8|2.11|2010
Scooby-Doo! Night of 100 Frights|PS2|Platformer|THQ|Heavy Iron Studios|7.3|2.1|2002
Battlefield 4|XOne|Lövöldözős|Electronic Arts|EA DICE|7.3|2.09|2013
Finding Nemo|PS2|Akció|THQ|Traveller's Tales|7.3|2.09|2003
Madden NFL 15|X360|Sport|EA Sports|EA Tiburon|7.3|2.09|2014
Grand Theft Auto: Episodes from Liberty City|PS3|Kaland|Rockstar Games|Rockstar North|9.0|2.09|2010
Need for Speed: Most Wanted 5-1-0|PSP|Versenyzős|Electronic Arts|EA Black Box|7.4|2.09|2005
Just Dance 2015|Wii|Zene|Ubisoft|Ubisoft Paris|7.3|2.09|2014
Tetris Worlds|PS2|Logikai|THQ|Blue Planet Software|7.3|2.08|2002
Metal Gear Solid: Peace Walker|PSP|Akció|Konami|Kojima Productions|8.6|2.08|2010
Rock Band|Wii|Egyéb|MTV Games|Harmonix Music Systems|8.2|2.08|2008
Sim Theme Park|PC|Stratégia|Electronic Arts|Bullfrog Productions|8.1|2.08|1999
Wipeout: The Game|Wii|Egyéb|Activision|Endemol|7.3|2.08|2010
Portal 2|X360|Lövöldözős|Valve|Valve Software|9.6|2.08|2011
UFC 2009 Undisputed|X360|Harcolós|THQ|Yuke's Osaka|8.4|2.07|2009
Spec Ops: Airborne Commando|PS|Lövöldözős|Gotham Games|Big Grub|7.3|2.07|2002
Dance Dance Revolution: Hottest Party|Wii|Szimuláció|Konami|Bemani|7.3|2.07|2007
Rise of the Tomb Raider|PS4|Kaland|Square Enix|Crystal Dynamics|7.3|2.07|2016
The Sims 2: Pets|DS|Szimuláció|Electronic Arts|Maxis|4.8|2.07|2006
Call of Duty 2|X360|Lövöldözős|Activision|Infinity Ward|8.8|2.06|2005
R4: Ridge Racer Type 4|PS|Versenyzős|Namco|Namco|9.1|2.06|1999
The Incredibles|GBA|Akció|THQ|Helixe|5.4|2.06|2004
Toy Story 3: The Video Game|DS|Akció|Disney Interactive Studios|Avalanche Software|7.3|2.06|2010
Hitman: Absolution|PS3|Akció|Square Enix|IO Interactive|7.3|2.06|2012
Tom Clancy's Splinter Cell: Conviction|X360|Akció|Ubisoft|Ubisoft Montreal|8.6|2.06|2010
Need for Speed: Undercover|PS3|Versenyzős|Electronic Arts|EA Vancouver|5.9|2.06|2008
Famista '89 - Kaimaku Han!!|NES|Sport|Namco|Namco|7.3|2.05|1989
Dark Souls|PS3|Szerepjáték|Namco Bandai|From Software|9.0|2.05|2011
Mortal Kombat vs DC Universe|PS3|Harcolós|Midway Games|Midway Amusement Games|7.6|2.05|2008
The Elder Scrolls Online: Tamriel Unlimited|PS4|MMO|Bethesda Softworks|ZeniMax Online Studios|7.3|2.05|2015
Need for Speed: ProStreet|X360|Versenyzős|Electronic Arts|EA Black Box|7.1|2.05|2007
NBA Jam|GEN|Sport|Arena Entertainment|Iguana Entertainment|7.3|2.05|1993
SOCOM: U.S. Navy SEALs: Combined Assault|PS2|Lövöldözős|Sony Computer Entertainment|Zipper Interactive|7.3|2.04|2006
Dragon Quest XI: Echoes of an Elusive Age|PS4|Szerepjáték|Square Enix|Square Enix|9.5|2.04|2018
PGR4 - Project Gotham Racing 4|X360|Versenyzős|Microsoft Game Studios|Bizarre Creations|8.6|2.04|2007
Need for Speed: ProStreet|PS3|Versenyzős|Electronic Arts|EA Black Box|7.2|2.04|2007
NBA 2K17|XOne|Sport|2K Sports|Visual Concepts|8.8|2.04|2016
Dance Central 2|X360|Zene|Microsoft|Harmonix Music Systems|8.6|2.04|2011
Carnival Games|DS|Egyéb|2K Play|Cat Daddy Games|7.3|2.04|2008
Middle-Earth: Shadow of War|PS4|Akció|Warner Bros. Interactive Entertainment|Monolith Productions|7.3|2.04|2017
Peter Jackson's King Kong: The Official Game of the Movie|PS2|Akció|Ubisoft|Ubisoft Montpellier|7.3|2.04|2005
Madden NFL 25|PS3|Sport|Electronic Arts|EA Tiburon|7.5|2.04|2013
NBA Live 2004|PS2|Sport|EA Sports|EA Canada|7.3|2.03|2003
Skate 3|PS3|Sport|EA Sports|EA Black Box|7.3|2.03|2010
Rayman Raving Rabbids: TV Party|Wii|Egyéb|Ubisoft|Ubisoft Paris|7.1|2.03|2008
The Sims 3|PS3|Szimuláció|Electronic Arts|The Sims Studio|8.1|2.03|2010
NBA 2K18|XOne|Sport|2K Sports|Visual Concepts|7.7|2.02|2017
Rocket League|PS4|Sport|505 Games|Psyonix Studios|8.7|2.02|2016
Just Dance 3|X360|Egyéb|Ubisoft|Ubisoft Paris|5.5|2.02|2011
Need for Speed: The Run|PS3|Versenyzős|Electronic Arts|EA Black Box|6.3|2.01|2011
Call of Duty: Black Ops 3|X360|Lövöldözős|Activision|Treyarch|7.3|2.01|2015
TouchMaster|DS|Logikai|Midway Games|Midway Studios San Diego|6.9|2.0|2007
Dead Space|PS3|Lövöldözős|Electronic Arts|EA Redwood Shores|8.9|2.0|2008
Tenchu: Stealth Assassins|PS|Akció|Activision|Acquire|8.8|1.99|1998
Harry Potter and the Chamber of Secrets|GBA|Kaland|Electronic Arts|Eurocom Entertainment Software|7.2|1.99|2002
Mortal Kombat vs DC Universe|X360|Harcolós|Midway Games|Midway Amusement Games|7.6|1.99|2008
Harry Potter and the Chamber of Secrets|PS|Kaland|Electronic Arts|Argonaut Games|7.3|1.98|2002
Just Cause 3|PS4|Akció-kaland|Square Enix|Avalanche Studios|7.5|1.98|2015
Dishonored 2|PS4|Akció|Bethesda Softworks|Arkane Studios|7.3|1.97|2016
E.T.: The Extra Terrestrial|2600|Akció|Atari|Atari|7.3|1.97|1982
Resident Evil 6|X360|Akció|Capcom|Capcom|7.3|1.97|2012
BioShock Infinite|X360|Lövöldözős|2K Games|Irrational Games|7.3|1.97|2013
Spyro: Enter the Dragonfly|PS2|Platformer|VU Games|Check Six Games|7.3|1.97|2002
Hot Shots Golf: Open Tee|PSP|Sport|Sony Computer Entertainment|Clap Hanz|8.4|1.96|2005
Lego Marvel Super Heroes|PS3|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.96|2013
Call of Duty: Black Ops 3|PS3|Lövöldözős|Activision|Treyarch|7.3|1.95|2015
NBA Street Vol. 2|PS2|Sport|EA Sports BIG|EA Canada|7.3|1.95|2003
Tom Clancy's Rainbow Six: Vegas|X360|Lövöldözős|Ubisoft|Ubisoft Montreal|8.8|1.95|2006
Grand Theft Auto: San Andreas|XB|Akció|Rockstar Games|Rockstar North|9.2|1.95|2005
Star Wars: Dark Forces|PC|Lövöldözős|LucasArts|LucasArts|7.3|1.95|1995
Crash Nitro Kart|PS2|Versenyzős|VU Games|Vicarious Visions|7.3|1.95|2003
Burnout Paradise|PS3|Versenyzős|Electronic Arts|Criterion Games|9.0|1.95|2008
Scooby Doo and the Cyber Chase|PS|Kaland|THQ|Art|7.3|1.94|2001
Tom Clancy's Ghost Recon|PS2|Lövöldözős|Ubisoft|Red Storm Entertainment|7.3|1.94|2002
Call of Duty: World at War|Wii|Lövöldözős|Activision|EXAKT Entertainment|8.1|1.94|2008
Def Jam Vendetta|PS2|Harcolós|EA Sports BIG|Aki Corporation|7.3|1.94|2003
Forza Horizon|X360|Versenyzős|Microsoft Studios|Playground Games|7.3|1.94|2012
Destiny|X360|Egyéb|Activision|Unknown|7.3|1.94|2014
Jet Moto 2|PS|Versenyzős|Sony Computer Entertainment|SingleTrac|7.3|1.94|1997
FIFA Soccer 09|X360|Sport|Electronic Arts|EA Canada|8.7|1.94|2008
X-Men Legends|PS2|Szerepjáték|Activision|Raven Software|8.6|1.93|2004
Virtua Fighter 2|SAT|Harcolós|Sega|Sega-AM2|7.3|1.93|1996
Mortal Kombat II|SNES|Harcolós|Acclaim Entertainment|Sculptured Software|7.3|1.93|1994
The Sims: Makin' Magic|PC|Szimuláció|Electronic Arts|Maxis|7.3|1.92|2003
The Legend of Zelda: Oracle of Ages|GBC|Kaland|Nintendo|Flagship|9.4|1.92|2001
Guitar Hero: World Tour|PS3|Egyéb|Activision|Neversoft Entertainment|8.5|1.92|2008
Star Wars Battlefront II (2017)|XOne|Lövöldözős|Electronic Arts|EA DICE|7.3|1.92|2017
Red Faction|PS2|Lövöldözős|THQ|Volition Inc.|9.1|1.92|2001
MX Unleashed|PS2|Versenyzős|THQ|Rainbow Studios|7.3|1.92|2004
Lego Marvel Super Heroes|PS4|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.91|2013
Madden NFL 18|XOne|Sport|EA Sports|EA Tiburon|8.8|1.91|2017
Need for Speed: Shift|X360|Versenyzős|Electronic Arts|Slightly Mad Studios|8.2|1.91|2009
Star Wars Rogue Leader: Rogue Squadron II|GC|Szimuláció|LucasArts|Factor 5|9.2|1.9|2001
Tomb Raider (2013)|X360|Akció|Square Enix|Crystal Dynamics|8.5|1.9|2013
Batman: Arkham Origins|X360|Akció-kaland|Warner Bros. Interactive Entertainment|Warner Bros. Interactive Entertainment|7.3|1.9|2013
Toy Story Mania!|Wii|Egyéb|Disney Interactive Studios|Papaya Studios|7.3|1.89|2009
Madden NFL 09|PS3|Sport|EA Sports|EA Tiburon|8.6|1.89|2008
Monopoly|Wii|Egyéb|Electronic Arts|EA Bright Light|7.3|1.89|2008
Minecraft|NS|Sandbox|Mojang|4J Studios|9.2|1.89|2018
Hot Shots Golf 2|PS|Sport|Sony Computer Entertainment|Clap Hanz|7.3|1.88|2000
Mortal Kombat: Deception|PS2|Harcolós|Midway Games|Midway Games|7.4|1.88|2004
Game Party 2|Wii|Egyéb|Midway Games|FarSight Studios|7.3|1.88|2008
Medal of Honor: European Assault (All Region sales)|PS2|Lövöldözős|Electronic Arts|EA Los Angeles|7.3|1.88|2005
WCW Nitro|PS|Harcolós|THQ|Inland Productions|7.3|1.88|1998
FIFA 2000|PS|Sport|EA Sports|EA Canada|8.8|1.87|1999
High School Musical: Sing It!|PS2|Egyéb|Disney Interactive Studios|Artificial Mind and Movement|7.3|1.87|2007
inFAMOUS 2|PS3|Akció|Sony Computer Entertainment|Sucker Punch Productions|8.1|1.87|2011
